Frequency,ADS,,Theory,,HFSS 
6380000000,-11.41988914,,-20.02239888,,-17.91165917
6400000000,-12.57858666,,-21.20628532,,-19.15952371
6420000000,-13.73942926,,-22.39284698,,-20.40986692
6440000000,-14.90277647,,-23.5823978,,-21.66307384
6460000000,-16.06899771,,-24.77525919,,-22.91954396
6480000000,-17.23847309,,-25.9717607,,-24.17969227
6500000000,-18.41159437,,-27.17224063,,-25.44395051
6520000000,-19.58876595,,-28.37704688,,-26.71276844
6540000000,-20.77040589,,-29.58653768,,-27.98661536
6560000000,-21.95694715,,-30.80108252,,-29.26598163
6580000000,-23.14883878,,-32.0210631,,-30.55138047
6600000000,-24.34654739,,-33.24687439,,-31.84334983
6620000000,-25.55055859,,-34.47892571,,-33.14245454
6640000000,-26.76137864,,-35.71764206,,-34.44928862
6660000000,-27.9795363,,-36.9634654,,-35.76447778
6680000000,-29.20558472,,-38.21685616,,-37.0886823
6700000000,-30.44010363,,-39.47829487,,-38.42260005
6720000000,-31.68370167,,-40.74828392,,-39.76696996
6740000000,-32.93701898,,-42.0273495,,-41.12257573
6760000000,-34.20073,,-43.31604375,,-42.49025003
6780000000,-35.47554664,,-44.61494713,,-43.87087907
6800000000,-36.76222162,,-45.92467097,,-45.2654077
6820000000,-38.06155228,,-47.24586035,,-46.67484503
6840000000,-39.37438471,,-48.57919726,,-48.10027071
6860000000,-40.70161835,,-49.92540405,,-49.54284182
6880000000,-42.04421099,,-51.28524734,,-51.00380056
6900000000,-43.40318442,,-52.65954223,,-52.48448281
6920000000,-44.77963052,,-54.04915707,,-53.9863276
6940000000,-46.17471811,,-55.45501873,,-55.51088763
6960000000,-47.58970064,,-56.8781184,,-57.059841
6980000000,-49.02592432,,-58.31951812,,-58.63500416
7000000000,-50.48483749,,-59.78035801,,-60.23834637
7020000000,-51.9680009,,-61.26186431,,-61.87200566
7040000000,-53.47709897,,-62.76535839,,-63.5383065
7060000000,-55.01395233,,-64.29226667,,-65.23977932
7080000000,-56.58053162,,-65.84413187,,-66.97918199
7100000000,-58.17897269,,-67.42262535,,-68.75952331
7120000000,-59.81159325,,-69.02956098,,-70.58408862
7140000000,-61.48091112,,-70.66691046,,-72.45646743
7160000000,-63.18966398,,-72.33682043,,-74.3805829
7180000000,-64.94083079,,-74.04163131,,-76.36072295
7200000000,-66.73765456,,-75.78389813,,-78.40157218
7220000000,-68.5836664,,-77.56641335,,-80.50824376
7240000000,-70.48271038,,-79.39223172,,-82.68630977
7260000000,-72.43896851,,-81.26469709,,-84.94182761
7280000000,-74.45698483,,-83.1874709,,-87.28135941
7300000000,-76.54168701,,-85.16456197,,-89.71197959
7320000000,-78.69840333,,-87.20035656,,-92.24126442
7340000000,-80.93287158,,-89.29964765,,-94.87725473
7360000000,-83.2512357,,-91.467661,,-97.62838025
7380000000,-85.6600237,,-93.71007516,,-100.5033307
7400000000,-88.16609852,,-96.03303057,,-103.5108546
7420000000,-90.77657073,,-98.443121,,-106.6594626
7440000000,-93.49865779,,-100.9473577,,-109.95701
7460000000,-96.33947223,,-103.5530923,,-113.4101278
7480000000,-99.30571361,,-106.2678797,,-117.0234781
7500000000,-102.4032369,,-109.0992536,,-120.7988109
7520000000,-105.6364641,,-112.0543795,,-124.7338167
7540000000,-109.0076025,,-115.1395367,,-128.8207886
7560000000,-112.5156334,,-118.3593652,,-133.0451322
7580000000,-116.1550347,,-121.7157963,,-137.3837783
7600000000,-119.914208,,-125.2065609,,-141.8035432
7620000000,-123.7735758,,-128.8231399,,-146.2593965
7640000000,-127.7033029,,-132.5479777,,-150.6923913
7660000000,-131.6605277,,-136.3507007,,-155.0265689
7680000000,-135.5858294,,-140.1829258,,-159.1632809
7700000000,-139.3982988,,-143.9708981,,-162.9695688
7720000000,-142.9878437,,-147.6044391,,-166.2531189
7740000000,-146.2018878,,-150.9190053,,-168.7055959
7760000000,-148.8205925,,-153.6639721,,-169.7645935
7780000000,-150.5083015,,-155.4421939,,-168.239565
7800000000,-150.7151705,,-155.5891143,,-161.1814931
7820000000,-148.4778577,,-152.934879,,-140.9855594
7840000000,-142.0687366,,-145.4495427,,-102.7421679
7860000000,-128.874318,,-130.5947478,,-74.50461671
7880000000,-108.1435491,,-109.6204956,,-63.0617716
7900000000,-86.92418318,,-91.0935358,,-58.95013768
7920000000,-72.71736678,,-79.95193606,,-57.90424143
7940000000,-65.13084181,,-74.50793287,,-58.30353721
7960000000,-61.55491392,,-72.37082823,,-59.45135379
7980000000,-60.23333582,,-72.08258891,,-61.01004514
8000000000,-60.2062523,,-72.85038207,,-62.80048918
8020000000,-60.95026483,,-74.23685565,,-64.72124262
8040000000,-62.16820159,,-75.9910869,,-66.71213397
8060000000,-63.68369099,,-77.96349095,,-68.73633572
8080000000,-65.38792905,,-80.06208038,,-70.77087934
8100000000,-67.21166241,,-82.22898268,,-72.80133805
8120000000,-69.10973301,,-84.4272486,,-74.81870278
8140000000,-71.05216673,,-86.63312988,,-76.81747498
8160000000,-73.01882938,,-88.83139459,,-78.79446544
8180000000,-74.99611103,,-91.01239873,,-80.7480183
8200000000,-76.97480808,,-93.17020933,,-82.67749918
8220000000,-78.94873627,,-95.30137649,,-84.58295206
8240000000,-80.91380312,,-97.40411658,,-86.46486622
8260000000,-82.8673764,,-99.47776158,,-88.32401642
8280000000,-84.80784765,,-101.5223841,,-90.1613527
8300000000,-86.7343268,,-103.53854,,-91.97792405
8320000000,-88.64642621,,-105.527091,,-93.7748257
8340000000,-90.54410683,,-107.4890822,,-95.55316277
8360000000,-92.42756742,,-109.4256579,,-97.31402557
8380000000,-94.29716559,,-111.338003,,-99.05847307
8400000000,-96.15336001,,-113.2273044,,-100.7875222
8420000000,-97.99666907,,-115.0947247,,-102.5021413
8440000000,-99.82764105,,-116.9413847,,-104.2032464
8460000000,-101.6468328,,-118.768354,,-105.8916998
8480000000,-103.4547946,,-120.5766442,,-107.5683097
8500000000,-105.2520597,,-122.3672068,,-109.2338313
8520000000,-107.0391374,,-124.1409329,,-110.8889681
8540000000,-108.816508,,-125.8986539,,-112.5343742
8560000000,-110.5846207,,-127.641144,,-114.1706563
8580000000,-112.3438917,,-129.3691225,,-115.7983762
8600000000,-114.0947042,,-131.0832576,,-117.4180533
8620000000,-115.8374088,,-132.7841688,,-119.0301671
8640000000,-117.572324,,-134.4724311,,-120.6351594
8660000000,-119.2997381,,-136.148578,,-122.2334371
8680000000,-121.0199104,,-137.8131046,,-123.8253741
8700000000,-122.7330728,,-139.4664711,,-125.4113137
8720000000,-124.439432,,-141.1091053,,-126.9915706
8740000000,-126.1391711,,-142.7414059,,-128.5664331
8760000000,-127.8324517,,-144.3637448,,-130.1361645
8780000000,-129.5194157,,-145.9764696,,-131.7010055
8800000000,-131.2001868,,-147.5799059,,-133.2611754
8820000000,-132.8748732,,-149.1743596,,-134.8168738
8840000000,-134.5435683,,-150.7601184,,-136.3682822
8860000000,-136.2063531,,-152.3374539,,-137.9155654
8880000000,-137.8632977,,-153.9066234,,-139.4588726
8900000000,-139.5144625,,-155.4678707,,-140.998339
8920000000,-141.1598997,,-157.0214284,,-142.5340864
8940000000,-142.7996553,,-158.5675185,,-144.066225
8960000000,-144.4337693,,-160.1063535,,-145.594854
8980000000,-146.0622779,,-161.638138,,-147.1200626
9000000000,-147.685214,,-163.1630689,,-148.6419308
9020000000,-149.3026084,,-164.6813369,,-150.1605308
9040000000,-150.9144907,,-166.1931267,,-151.675927
9060000000,-152.5208904,,-167.6986181,,-153.1881773
9080000000,-154.1218373,,-169.1979863,,-154.6973339
9100000000,-155.7173626,,-170.6914028,,-156.2034434
9120000000,-157.3074992,,-172.1790352,,-157.7065479
9140000000,-158.8922825,,-173.6610485,,-159.2066852
9160000000,-160.4717509,,-175.1376047,,-160.7038898
9180000000,-162.0459463,,-176.6088638,,-162.198193
9200000000,-163.614914,,-178.0749833,,-163.6896235
9220000000,-165.1787039,,-179.5361193,,-165.1782078
9240000000,-166.73737,,179.007574,,-166.6639707
9260000000,-168.2909709,,177.5559439,,-168.1469355
9280000000,-169.8395701,,176.1088387,,-169.6271245
9300000000,-171.383236,,174.6661083,,-171.1045591
9320000000,-172.9220419,,173.2276035,,-172.5792603
9340000000,-174.4560663,,171.7931761,,-174.0512489
9360000000,-175.9853927,,170.3626791,,-175.5205455
9380000000,-177.5101095,,168.9359663,,-176.987171
9400000000,-179.0303104,,167.5128926,,-178.4511468
9420000000,179.4539062,,166.0933139,,-179.9124947
9440000000,177.9424371,,164.677087,,178.6287629
9460000000,176.4351743,,163.2640697,,177.1726027
9480000000,174.9320054,,161.8541212,,175.7190004
9500000000,173.4328135,,160.4471014,,174.2679309
9520000000,171.9374776,,159.0428717,,172.819368
9540000000,170.4458727,,157.6412946,,171.3732841
9560000000,168.95787,,156.2422342,,169.9296509
9580000000,167.4733373,,154.8455556,,168.4884385
9600000000,165.9921387,,153.4511259,,167.049616
9620000000,164.5141358,,152.0588135,,165.6131512
9640000000,163.0391868,,150.6684887,,164.1790107
9660000000,161.5671477,,149.2800233,,162.74716
9680000000,160.0978721,,147.8932914,,161.3175633
9700000000,158.6312116,,146.508169,,159.8901837
9720000000,157.1670158,,145.124534,,158.4649832
9740000000,155.7051332,,143.7422669,,157.0419227
9760000000,154.2454106,,142.3612503,,155.6209624
9780000000,152.7876941,,140.9813695,,154.202061
9800000000,151.3318293,,139.602512,,152.7851768
9820000000,149.877661,,138.2245685,,151.3702671
9840000000,148.4250341,,136.847432,,149.9572884
9860000000,146.9737936,,135.4709988,,148.5461968
9880000000,145.5237849,,134.095168,,147.1369474
9900000000,144.0748543,,132.7198419,,145.7294951
9920000000,142.6268488,,131.3449261,,144.3237944
9940000000,141.1796167,,129.9703293,,142.9197991
9960000000,139.733008,,128.5959641,,141.5174632
9980000000,138.2868743,,127.2217461,,140.1167401
10000000000,136.8410693,,125.847595,,138.7175833
10020000000,135.3954493,,124.4734338,,138.0041631
10040000000,133.9498728,,123.0991898,,136.6005175
10060000000,132.5042013,,121.7247938,,135.1985276
10080000000,131.0582996,,120.3501808,,133.7981374
10100000000,129.6120357,,118.9752896,,132.3992915
10120000000,128.1652814,,117.6000635,,131.0019358
10140000000,126.7179123,,116.2244497,,129.6060173
10160000000,125.269808,,114.8483996,,128.2114844
10180000000,123.8208529,,113.4718692,,126.8182868
10200000000,122.3709357,,112.0948184,,125.4263758
10220000000,120.9199501,,110.7172119,,124.0357043
10240000000,119.467795,,109.3390184,,122.6462272
10260000000,118.0143744,,107.9602112,,121.2579009
10280000000,116.5595982,,106.5807681,,119.870684
10300000000,115.1033818,,105.2006711,,118.4845368
10320000000,113.6456467,,103.8199068,,117.0994218
10340000000,112.1863206,,102.438466,,115.7153036
10360000000,110.7253375,,101.056344,,114.3321486
10380000000,109.2626379,,99.67354048,,112.9499258
10400000000,107.7981692,,98.29005923,,111.5686058
10420000000,106.3318854,,96.90590835,,110.1881618
10440000000,104.8637477,,95.52110007,,108.8085688
10460000000,103.3937243,,94.13565069,,107.4298042
10480000000,101.9217908,,92.7495805,,106.0518472
10500000000,100.4479299,,91.36291364,,104.6746792
10520000000,98.97213178,,89.97567802,,103.2982838
10540000000,97.49439414,,88.5879052,,101.9226464
10560000000,96.0147221,,87.19963023,,100.5477542
10580000000,94.53312829,,85.81089151,,99.17359652
10600000000,93.04963286,,84.42173068,,97.80016427
10620000000,91.56426341,,83.03219237,,96.42745017
10640000000,90.07705497,,81.64232411,,95.05544851
10660000000,88.58804981,,80.25217609,,93.68415512
10680000000,87.09729775,,78.86180098,,92.31356725
10700000000,85.60485543,,77.47125373,,90.94368348
10720000000,84.11078655,,76.08059138,,89.57450356
10740000000,82.61516164,,74.68987279,,88.20602837
10760000000,81.1180578,,73.29915848,,86.8382597
10780000000,79.61955851,,71.90851033,,85.47120021
10800000000,78.11975339,,70.5179914,,84.10485322
10820000000,76.61873787,,69.12766567,,82.73922264
10840000000,75.11661297,,67.73759775,,81.37431275
10860000000,73.61348491,,66.3478527,,80.01012812
10880000000,72.10946478,,64.95849574,,78.64667342
10900000000,70.6046682,,63.56959197,,77.28395326
10920000000,69.09921489,,62.18120617,,75.92197206
10940000000,67.5932283,,60.79340248,,74.56073386
10960000000,66.08683514,,59.40624421,,73.20024216
10980000000,64.58016496,,58.0197935,,71.84049976
11000000000,63.07334972,,56.63411115,,70.48150861
11020000000,61.56652327,,55.24925629,,69.12326957
11040000000,60.05982087,,53.86528619,,67.76578233
