Frequency,ADS,,Theory,,HFSS
7120000000,-1.084148574,,-0.835799332,,-0.820236799
7140000000,-1.056041806,,-0.812392062,,-0.800701145
7160000000,-1.028471125,,-0.789697707,,-0.782310903
7180000000,-1.001692042,,-0.767927389,,-0.765456213
7200000000,-0.976003557,,-0.747324817,,-0.750600702
7220000000,-0.95175623,,-0.728172225,,-0.738295986
7240000000,-0.929361866,,-0.710797532,,-0.729199149
7260000000,-0.909305141,,-0.695582985,,-0.724093776
7280000000,-0.892157566,,-0.682975624,,-0.723915201
7300000000,-0.878594257,,-0.673499978,,-0.729780766
7320000000,-0.869414069,,-0.667773508,,-0.743025887
7340000000,-0.865563737,,-0.666525402,,-0.765246823
7360000000,-0.868166745,,-0.670619515,,-0.798350983
7380000000,-0.878557762,,-0.681082361,,-0.844615462
7400000000,-0.8983235,,-0.699137306,,-0.906754242
7420000000,-0.929350888,,-0.726246317,,-0.987993927
7440000000,-0.973883399,,-0.764160866,,-1.09215713
7460000000,-1.034586153,,-0.81498387,,-1.223751539
7480000000,-1.114620096,,-0.881244774,,-1.388061404
7500000000,-1.217724969,,-0.965990096,,-1.591237043
7520000000,-1.348309966,,-1.072891852,,-1.840377427
7540000000,-1.511550012,,-1.206376201,,-2.143602286
7560000000,-1.713484584,,-1.371774359,,-2.510114904
7580000000,-1.961115492,,-1.575497292,,-2.950267194
7600000000,-2.262500753,,-1.82523513,,-3.475657194
7620000000,-2.626844935,,-2.130181985,,-4.099318366
7640000000,-3.064593722,,-2.501288123,,-4.83610286
7660000000,-3.587553692,,-2.951545867,,-5.703422553
7680000000,-4.2090784,,-3.496325883,,-6.722605002
7700000000,-4.94438786,,-4.15379831,,-7.921278223
7720000000,-5.811114136,,-4.945495086,,-9.337482868
7740000000,-6.83017066,,-5.897070009,,-11.02671094
7760000000,-8.026959133,,-7.039188911,,-13.07360496
7780000000,-9.432510338,,-8.407850849,,-15.60738881
7800000000,-11.08246426,,-10.04084898,,-18.78212875
7820000000,-13.00512973,,-11.95695707,,-22.32660118
7840000000,-15.16470186,,-14.06869291,,-23.4463476
7860000000,-17.25857529,,-15.91716677,,-20.78129514
7880000000,-18.38661079,,-16.49013375,,-17.83677797
7900000000,-17.76868194,,-15.43125865,,-15.529261
7920000000,-16.10506827,,-13.68481699,,-13.74477278
7940000000,-14.3229033,,-11.97581871,,-12.32962101
7960000000,-12.74646961,,-10.50286778,,-11.178297
7980000000,-11.41346879,,-9.270206604,,-10.22140974
8000000000,-10.29168675,,-8.240139539,,-9.412171948
8020000000,-9.341295842,,-7.373525349,,-8.717941068
8040000000,-8.528318706,,-6.63792084,,-8.115201827
8060000000,-7.826001836,,-6.007861695,,-7.586537238
8080000000,-7.21364752,,-5.463581215,,-7.118739354
8100000000,-6.675211196,,-4.989686215,,-6.701589963
8120000000,-6.198147071,,-4.574091869,,-6.327048161
8140000000,-5.772539851,,-4.207219805,,-5.988693305
8160000000,-5.390467561,,-3.881404893,,-5.681333273
8180000000,-5.045534925,,-3.590456446,,-5.400722739
8200000000,-4.732529345,,-3.329331404,,-5.143356555
8220000000,-4.447164628,,-3.093888626,,-4.906315547
8240000000,-4.185887894,,-2.880702267,,-4.687149647
8260000000,-3.945732397,,-2.68691861,,-4.483788104
