Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
9.025,0.26108328,,9.025,0.208708846
9.05,0.240392881,,9.05,0.208257116
9.075,0.194264988,,9.075,0.207814955
9.1,0.2780573,,9.1,0.20738103
9.125,0.122693552,,9.125,0.206954182
9.15,0.322566758,,9.15,0.206533415
9.175,0.094777087,,9.175,0.206117878
9.2,0.269275256,,9.2,0.205706857
9.225,0.166330167,,9.225,0.205299754
9.25,0.173962397,,9.25,0.204896086
9.275,0.248157217,,9.275,0.204495465
9.3,0.12788862,,9.3,0.204097592
9.325,0.239771186,,9.325,0.203702248
9.35,0.139277539,,9.35,0.203309281
9.375,0.224924693,,9.375,0.2029186
9.4,0.110747478,,9.4,0.202530167
9.425,0.264463449,,9.425,0.202143988
9.45,0.10078372,,9.45,0.201760107
9.475,0.229877327,,9.475,0.201378596
9.5,0.173329099,,9.5,0.200999554
9.525,0.141369031,,9.525,0.200623099
9.55,0.260362977,,9.55,0.200249359
9.575,0.104202425,,9.575,0.199878475
9.6,0.257258822,,9.6,0.199510587
9.625,0.13156932,,9.625,0.199145837
9.65,0.23842255,,9.65,0.198784364
9.675,0.15124422,,9.675,0.198426297
9.7,0.230958547,,9.7,0.198071757
9.725,0.169617102,,9.725,0.19772085
9.75,0.201401484,,9.75,0.197373668
9.775,0.229707246,,9.775,0.197030285
9.8,0.154779669,,9.8,0.196690756
9.825,0.270587536,,9.825,0.196355117
9.85,0.150716077,,9.85,0.196023382
9.875,0.250720292,,9.875,0.195695541
9.9,0.213296395,,9.9,0.195371565
9.925,0.22019641,,9.925,0.195051398
9.95,0.243281034,,9.95,0.194734964
9.975,0.224737442,,9.975,0.194422162
10,0.341349222,,10,0.194266655
10,0.230138117,,10,0.192568089
10.025,0.214648738,,10.025,0.192581338
10.05,0.248648826,,10.05,0.192601687
10.075,0.238920641,,10.075,0.192610002
10.1,0.262454333,,10.1,0.192606814
10.125,0.247646084,,10.125,0.192592646
10.15,0.256766437,,10.15,0.192568013
10.175,0.264673461,,10.175,0.192533423
10.2,0.250405916,,10.2,0.192489373
10.225,0.268614338,,10.225,0.192436353
10.25,0.256283473,,10.25,0.192374845
10.275,0.260729956,,10.275,0.19230532
10.3,0.262183967,,10.3,0.192228241
10.325,0.250539801,,10.325,0.192144063
10.35,0.263550873,,10.35,0.19205323
10.375,0.242307271,,10.375,0.191956178
10.4,0.258217041,,10.4,0.191853335
10.425,0.24194272,,10.425,0.191745121
10.45,0.244637599,,10.45,0.191631946
10.475,0.240041631,,10.475,0.191514215
10.5,0.232798067,,10.5,0.191392323
10.525,0.229057342,,10.525,0.191266659
10.55,0.223039374,,10.55,0.191137608
10.575,0.213008929,,10.575,0.191005545
10.6,0.222281662,,10.6,0.190870843
10.625,0.188558188,,10.625,0.190733869
10.65,0.213073267,,10.65,0.190594987
10.675,0.184767737,,10.675,0.190454557
10.7,0.187874698,,10.7,0.190312938
10.725,0.191048844,,10.725,0.190170486
10.75,0.154678668,,10.75,0.190027558
10.775,0.181228599,,10.775,0.189884513
10.8,0.152675377,,10.8,0.189741708
10.825,0.169548215,,10.825,0.189599506
10.85,0.136911332,,10.85,0.189458273
10.875,0.18274248,,10.875,0.189318383
10.9,0.097619959,,10.9,0.189180213
10.925,0.192874374,,10.925,0.189044151
10.95,0.115631924,,10.95,0.188910595
10.975,0.130613585,,10.975,0.188779954
11,0.1635462,,11,0.188652652
11.025,0.059710396,,11.025,0.188529125
11.05,0.177391512,,11.05,0.188409831
11.075,0.075214341,,11.075,0.188295245
11.1,0.139961773,,11.1,0.188185863
11.125,0.086976975,,11.125,0.188082206
11.15,0.165012348,,11.15,0.187984822
11.175,0.006170856,,11.175,0.187894288
11.2,0.204880891,,11.2,0.187811213
11.225,0.044744897,,11.225,0.187736241
11.25,0.101836449,,11.25,0.187670052
11.275,0.18326783,,11.275,0.187613371
11.3,-0.094472802,,11.3,0.187566966
11.325,0.277410131,,11.325,0.187531653
11.35,-0.041887958,,11.35,0.187508302
11.375,0.171768347,,11.375,0.18749784
11.4,0.059512074,,11.4,0.187501256
11.425,0.04795487,,11.425,0.187519604
11.45,0.120877606,,11.45,0.187554011
11.475,0.053945916,,11.475,0.187605684
11.5,0.138814752,,11.5,0.18767591
11.525,0.020893491,,11.525,0.18776607
11.55,0.170349467,,11.55,0.187877643
11.575,-0.042801847,,11.575,0.188012213
11.6,0.210077839,,11.6,0.188171481
11.625,-0.049874888,,11.625,0.188357273
11.65,0.233542965,,11.65,0.18857155
11.675,-0.028980432,,11.675,0.188816422
11.7,0.158304572,,11.7,0.18909416
11.725,0.117504414,,11.725,0.189407211
11.75,-0.073644428,,11.75,0.189758213
11.775,0.305359169,,11.775,0.190150018
