fre,l6=16mm,l6=17mm,l6=18mm,,l6=16mm,l6=17mm,l6=18mm,,,l6=16mm,l6=17mm,l6=18mm
Frequency,GD,GD,GD,,GD(ns),GD(ns),GD(ns),,Frequency,Angle,Angle,Angle
2.9,1.69E-10,4.14E-10,2.29E-10,,0.16911827,0.413985148,0.228827027,,2.9,-221.3193092,-132.2455198,-144.0457012
2.92,-4.19E-09,3.80E-10,2.21E-10,,-4.185999746,0.380114907,0.220558429,,2.92,-218.5738997,-135.0963914,-145.6614969
2.94,-7.36E-09,3.51E-10,2.13E-10,,-7.3609699,0.350638211,0.213318832,,2.94,-161.0409128,-137.7191745,-147.2217426
2.96,-3.51E-09,3.25E-10,2.07E-10,,-3.514536855,0.32535172,0.206964845,,2.96,-112.5759332,-140.1455816,-148.7332881
2.98,1.37E-10,3.04E-10,2.01E-10,,0.13672209,0.303770741,0.201375218,,2.98,-110.4315821,-142.4042393,-150.2020364
3,6.43E-10,2.85E-10,1.96E-10,,0.64256354,0.285362822,0.196447572,,3,-114.5447313,-144.5198803,-151.6330912
3.02,7.06E-10,2.70E-10,1.92E-10,,0.705951788,0.269633954,0.192095413,,3.02,-119.6844971,-146.5134639,-153.0308814
3.04,6.70E-10,2.56E-10,1.88E-10,,0.669606856,0.256155052,0.188245541,,3.04,-124.710437,-148.4026093,-154.3992652
3.06,6.09E-10,2.45E-10,1.85E-10,,0.609419648,0.244564528,0.184835849,,3.06,-129.3268358,-150.2020966,-155.7416172
3.08,5.48E-10,2.35E-10,1.82E-10,,0.548162103,0.234561978,0.18181349,,3.08,-133.48608,-151.9243384,-157.0609014
3.1,4.93E-10,2.26E-10,1.79E-10,,0.492921636,0.225899353,0.179133351,,3.1,-137.2203701,-153.5797891,-158.3597314
3.12,4.45E-10,2.18E-10,1.77E-10,,0.445342656,0.218372154,0.176756791,,3.12,-140.5841515,-155.1772891,-159.6404216
3.14,4.05E-10,2.12E-10,1.75E-10,,0.405133021,0.211811612,0.174650601,,3.14,-143.6333044,-156.7243481,-160.9050292
3.16,3.71E-10,2.06E-10,1.73E-10,,0.371387362,0.206078094,0.172786143,,3.16,-146.418067,-158.2273764,-162.1553903
3.18,3.43E-10,2.01E-10,1.71E-10,,0.343095907,0.201055669,0.171138636,,3.18,-148.9812824,-159.6918727,-163.3931497
3.2,3.19E-10,1.97E-10,1.70E-10,,0.319329353,0.196647699,0.16968657,,3.2,-151.3586481,-161.122578,-164.6197867
3.22,2.99E-10,1.93E-10,1.68E-10,,0.299292874,0.192773286,0.168411209,,3.22,-153.5796251,-162.5235996,-165.8366363
3.24,2.82E-10,1.89E-10,1.67E-10,,0.282328805,0.189364412,0.167296184,,3.24,-155.6684655,-163.8985133,-167.0449081
3.26,2.68E-10,1.86E-10,1.66E-10,,0.267901241,0.186363635,0.166327151,,3.26,-157.6451598,-165.2504471,-168.2457014
3.28,2.56E-10,1.84E-10,1.65E-10,,0.255576193,0.183722229,0.1654915,,3.28,-159.5262433,-166.5821496,-169.440019
3.3,2.45E-10,1.81E-10,1.65E-10,,0.245002633,0.18139869,0.164778117,,3.3,-161.325457,-167.8960472,-170.628779
3.32,2.36E-10,1.79E-10,1.64E-10,,0.235896163,0.179357515,0.164177176,,3.32,-163.0542813,-169.1942908,-171.8128239
3.34,2.28E-10,1.78E-10,1.64E-10,,0.22802559,0.177568208,0.163679965,,3.34,-164.7223618,-170.4787954,-172.9929303
3.36,2.21E-10,1.76E-10,1.63E-10,,0.221202166,0.176004477,0.163278742,,3.36,-166.3378498,-171.751273,-174.1698154
3.38,2.15E-10,1.75E-10,1.63E-10,,0.215271035,0.174643561,0.162966603,,3.38,-167.907673,-173.0132599,-175.3441442
3.4,2.10E-10,1.73E-10,1.63E-10,,0.210104499,0.173465688,0.16273738,,3.4,-169.4377527,-174.2661402,-176.5165345
3.42,2.06E-10,1.72E-10,1.63E-10,,0.2055967,0.172453619,0.162585545,,3.42,-170.9331777,-175.5111658,-177.6875625
3.44,2.02E-10,1.72E-10,1.63E-10,,0.201659422,0.171592268,0.16250613,,3.44,-172.3983451,-176.7494724,-178.8577664
3.46,1.98E-10,1.71E-10,1.62E-10,,0.198218775,0.170868392,0.162494657,,3.46,-173.8370734,-177.9820944,179.9723493
3.48,1.95E-10,1.70E-10,1.63E-10,,0.19521255,0.170270326,0.162547082,,3.48,-175.2526955,-179.2099772,178.8023106
3.5,1.93E-10,1.70E-10,1.63E-10,,0.192588116,0.169787757,0.162659739,,3.5,-176.6481341,179.5660129,177.6316713
3.52,1.90E-10,1.69E-10,1.63E-10,,0.190300735,0.169411544,0.162829293,,3.52,-178.0259644,178.3450791,176.4600103
3.54,1.88E-10,1.69E-10,1.63E-10,,0.188312198,0.16913355,0.163052705,,3.54,-179.3884647,177.1264866,175.2869295
3.56,1.87E-10,1.69E-10,1.63E-10,,0.186589727,0.168946515,0.163327193,,3.56,179.26234,175.909556,174.1120514
3.58,1.85E-10,1.69E-10,1.64E-10,,0.185105078,0.168843936,0.163650201,,3.58,177.9246432,174.6936568,172.9350179
3.6,1.84E-10,1.69E-10,1.64E-10,,0.183833813,0.168819968,0.164019374,,3.6,176.5968269,173.4782033,171.7554885
3.62,1.83E-10,1.69E-10,1.64E-10,,0.182754696,0.16886934,0.16443253,,3.62,175.2774363,172.2626493,170.5731389
3.64,1.82E-10,1.69E-10,1.65E-10,,0.181849198,0.168987282,0.164887641,,3.64,173.9651592,171.0464848,169.3876601
3.66,1.81E-10,1.69E-10,1.65E-10,,0.181101088,0.169169458,0.165382813,,3.66,172.6588078,169.8292324,168.1987569
3.68,1.80E-10,1.69E-10,1.66E-10,,0.180496087,0.169411914,0.165916268,,3.68,171.3573036,168.6104446,167.0061476
