Frequency,HFSS,,,Frequency,Measurement
,mag,,,,Mag
8.86,-1.576209148,,,9.83E+09,-1.24732
8.88,-1.529108378,,,9.85E+09,-1.23634
8.9,-1.48370857,,,9.88E+09,-1.15128
8.92,-1.439948162,,,9.90E+09,-1.17524
8.94,-1.397769302,,,9.93E+09,-1.10503
8.96,-1.357117482,,,9.95E+09,-1.10072
8.98,-1.317941221,,,9.98E+09,-1.07263
9,-1.280191771,,,1.00E+10,-0.98504
9.02,-1.243822862,,,1.00E+10,-1.22394
9.04,-1.20879047,,,1.00E+10,-1.28096
9.06,-1.175052609,,,1.01E+10,-1.32622
9.08,-1.14256915,,,1.01E+10,-1.34401
9.1,-1.111301653,,,1.01E+10,-1.38488
9.12,-1.081213225,,,1.01E+10,-1.42304
9.14,-1.052268385,,,1.02E+10,-1.45038
9.16,-1.024432951,,,1.02E+10,-1.50055
9.18,-0.997673935,,,1.02E+10,-1.53359
9.2,-0.971959451,,,1.02E+10,-1.58134
9.22,-0.947258636,,,1.03E+10,-1.62473
9.24,-0.923541578,,,1.03E+10,-1.67728
9.26,-0.900779252,,,1.03E+10,-1.7233
9.28,-0.878943467,,,1.03E+10,-1.78005
9.3,-0.858006814,,,1.04E+10,-1.82876
9.32,-0.837942627,,,1.04E+10,-1.8872
9.34,-0.818724945,,,1.04E+10,-1.94185
9.36,-0.800328482,,,1.04E+10,-1.99844
9.38,-0.782728594,,,1.05E+10,-2.05846
9.4,-0.765901266,,,1.05E+10,-2.12095
9.42,-0.74982308,,,1.05E+10,-2.18768
9.44,-0.734471207,,,1.05E+10,-2.25817
9.46,-0.719823389,,,1.06E+10,-2.32608
9.48,-0.705857927,,,1.06E+10,-2.39535
9.5,-0.692553672,,,1.06E+10,-2.46801
9.52,-0.679890018,,,1.06E+10,-2.53877
9.54,-0.667846891,,,1.07E+10,-2.61592
9.56,-0.656404748,,,1.07E+10,-2.69417
9.58,-0.645544571,,,1.07E+10,-2.77023
9.6,-0.635247861,,,1.07E+10,-2.85159
9.62,-0.62549664,,,1.08E+10,-2.92948
9.64,-0.616273443,,,1.08E+10,-3.00945
9.66,-0.607561319,,,1.08E+10,-3.08651
9.68,-0.59934383,,,1.08E+10,-3.16722
9.7,-0.591605045,,,1.09E+10,-3.23989
9.72,-0.584329542,,,1.09E+10,-3.31209
9.74,-0.577502404,,,1.09E+10,-3.40099
9.76,-0.571109218,,,1.09E+10,-3.44945
9.78,-0.565136071,,,1.10E+10,-3.55677
9.8,-0.559569551,,,1.10E+10,-3.6001
9.82,-0.554396739,,,1.10E+10,-3.68415
9.84,-0.549605208,,,1.10E+10,-3.75467
9.86,-0.545183021,,,1.11E+10,-3.80899
9.88,-0.541118723,,,1.11E+10,-3.89117
9.9,-0.537401341,,,1.11E+10,-3.95086
9.92,-0.534020373,,,1.11E+10,-4.01304
9.94,-0.530965786,,,1.12E+10,-4.07479
9.96,-0.52822801,,,1.12E+10,-4.18743
9.98,-0.52579793,,,1.12E+10,-4.16878
10,-0.523666877,,,1.12E+10,-4.3366
10,-0.517606968,,,1.13E+10,-4.2801
10.02,-0.515723498,,,1.13E+10,-4.3995
10.04,-0.514138465,,,1.13E+10,-4.49596
10.06,-0.512844578,,,1.13E+10,-4.46785
10.08,-0.511835135,,,1.14E+10,-4.66529
10.1,-0.511104008,,,1.14E+10,-4.57888
10.12,-0.510645616,,,1.14E+10,-4.74894
10.14,-0.510454904,,,1.14E+10,-4.73282
10.16,-0.51052732,,,1.15E+10,-4.83501
10.18,-0.510858787,,,1.15E+10,-4.83287
10.2,-0.511445682,,,1.15E+10,-4.92726
10.22,-0.512284811,,,1.15E+10,-4.93491
10.24,-0.51337338,,,1.16E+10,-5.01358
10.26,-0.514708973,,,1.16E+10,-5.09016
10.28,-0.516289524,,,1.16E+10,-5.09449
10.3,-0.518113291,,,1.16E+10,-5.22379
10.32,-0.520178832,,,1.17E+10,-5.13336
10.34,-0.522484976,,,1.17E+10,-5.3736
10.36,-0.525030798,,,1.17E+10,-5.18758
10.38,-0.527815594,,,1.17E+10,-5.47551
10.4,-0.530838853,,,1.18E+10,-5.31198
10.42,-0.534100235,,,1.18E+10,-5.46423
10.44,-0.537599541,,,1.18E+10,-5.64926
10.46,-0.541336692,,,1.18E+10,-5.4642
10.48,-0.545311703,,,1.19E+10,-5.80919
10.5,-0.549524658,,,1.19E+10,-5.48297
10.52,-0.553975687,,,1.19E+10,-5.72394
10.54,-0.558664944,,,1.19E+10,-5.62787
10.56,-0.563592583,,,1.20E+10,-5.72522
10.58,-0.568758736,,,1.20E+10,-5.69996
10.6,-0.574163494,,,1.20E+10,-5.81365
10.62,-0.579806883,,,1.20E+10,-5.71842
10.64,-0.585688849,,,1.21E+10,-5.82437
10.66,-0.591809234,,,1.21E+10,-5.9425
10.68,-0.598167761,,,1.21E+10,-5.75182
10.7,-0.604764019,,,1.21E+10,-6.14566
10.72,-0.61159744,,,1.22E+10,-5.70661
10.74,-0.618667293,,,1.22E+10,-6.12716
10.76,-0.62597266,,,1.22E+10,-5.88726
10.78,-0.633512432,,,1.22E+10,-6.06363
10.8,-0.641285291,,,1.23E+10,-6.04152
10.82,-0.6492897,,,1.23E+10,-5.98546
10.84,-0.657523895,,,1.23E+10,-6.03008
10.86,-0.665985875,,,1.23E+10,-5.89539
10.88,-0.674673395,,,1.24E+10,-6.11151
