Frequency,GD,GD(ns)
11.9,1.91E-10,0.191083506
11.92,1.92E-10,0.191598986
11.94,1.92E-10,0.192157436
11.96,1.93E-10,0.19276143
11.98,1.93E-10,0.193413724
12,1.94E-10,0.194117273
12.02,1.95E-10,0.194875254
12.04,1.96E-10,0.195691083
12.06,1.97E-10,0.19656845
12.08,1.98E-10,0.197511336
12.1,1.99E-10,0.198524056
12.12,2.00E-10,0.199611286
12.14,2.01E-10,0.200778108
12.16,2.02E-10,0.202030055
12.18,2.03E-10,0.203373159
12.2,2.05E-10,0.204814011
12.22,2.06E-10,0.206359825
12.24,2.08E-10,0.208018506
12.26,2.10E-10,0.209798737
12.28,2.12E-10,0.211710069
12.3,2.14E-10,0.213763023
12.32,2.16E-10,0.215969206
12.34,2.18E-10,0.218341445
12.36,2.21E-10,0.220893928
12.38,2.24E-10,0.223642372
12.4,2.27E-10,0.226604204
12.42,2.30E-10,0.229798765
12.44,2.33E-10,0.233247527
12.46,2.37E-10,0.236974341
12.48,2.41E-10,0.241005694
12.5,2.45E-10,0.245370978
12.52,2.50E-10,0.25010277
12.54,2.55E-10,0.255237094
12.56,2.61E-10,0.260813646
12.58,2.67E-10,0.266875952
12.6,2.73E-10,0.273471383
12.62,2.81E-10,0.280650951
12.64,2.88E-10,0.288468734
12.66,2.97E-10,0.296980729
12.68,3.06E-10,0.306242817
12.7,3.16E-10,0.316307355
12.72,3.27E-10,0.327217697
12.74,3.39E-10,0.338999565
12.76,3.52E-10,0.351647659
12.78,3.65E-10,0.365105089
12.8,3.79E-10,0.379231949
12.82,3.94E-10,0.393757427
12.84,4.08E-10,0.408206774
12.86,4.22E-10,0.421789499
12.88,4.33E-10,0.433226555
12.9,4.40E-10,0.440478892
12.92,4.40E-10,0.440309867
12.94,4.28E-10,0.427552942
12.96,3.94E-10,0.393825657
12.98,3.25E-10,0.325150565
13,1.97E-10,0.197388144
13.02,-3.23E-11,-0.032280655
13.04,-4.37E-10,-0.436863684
13.06,-1.10E-09,-1.10298479
13.08,-1.95E-09,-1.947059437
13.1,-2.42E-09,-2.422050938
13.12,-2.06E-09,-2.061132899
13.14,-1.25E-09,-1.24616986
13.16,-5.66E-10,-0.565733335
13.18,-1.48E-10,-0.147844929
13.2,8.92E-11,0.089241329
13.22,2.22E-10,0.222131849
13.24,2.96E-10,0.295956321
13.26,3.36E-10,0.3356393
13.28,3.55E-10,0.355168518
13.3,3.63E-10,0.36264668
13.32,3.63E-10,0.362908812
13.34,3.59E-10,0.358907258
13.36,3.52E-10,0.35247318
13.38,3.45E-10,0.344751885
13.4,3.36E-10,0.336460414
13.42,3.28E-10,0.328044333
13.44,3.20E-10,0.319775377
13.46,3.12E-10,0.311813344
13.48,3.04E-10,0.30424587
13.5,2.97E-10,0.297114257
13.52,2.90E-10,0.290430355
13.54,2.84E-10,0.284187661
13.56,2.78E-10,0.278368612
13.58,2.73E-10,0.272949378
13.6,2.68E-10,0.267902989
13.62,2.63E-10,0.263201357
13.64,2.59E-10,0.258816559
13.66,2.55E-10,0.254721624
13.68,2.51E-10,0.250890993
13.7,2.47E-10,0.247300764
13.72,2.44E-10,0.243928791
13.74,2.41E-10,0.240754697
13.76,2.38E-10,0.237759824
13.78,2.35E-10,0.234927158
13.8,2.32E-10,0.232241223
13.82,2.30E-10,0.22968798
13.84,2.27E-10,0.227254712
13.86,2.25E-10,0.224929918
13.88,2.23E-10,0.222703211
13.9,2.21E-10,0.220565221
13.92,2.19E-10,0.218507502
13.94,2.17E-10,0.216522453
13.96,2.15E-10,0.214603237
13.98,2.13E-10,0.212743716
14,2.11E-10,0.210938383
14.02,2.09E-10,0.209182306
14.04,2.07E-10,0.207471074
14.06,2.06E-10,0.205800752
14.08,2.04E-10,0.204167832
14.1,2.03E-10,0.202569199
14.12,2.01E-10,0.201002093
14.14,1.99E-10,0.199464073
14.16,1.98E-10,0.197952991
14.18,1.96E-10,0.196466965
14.2,1.95E-10,0.19500435
14.22,1.94E-10,0.193563718
14.24,1.92E-10,0.192143839
14.26,1.91E-10,0.190743659
14.28,1.89E-10,0.189362282
14.3,1.88E-10,0.187998958
14.32,1.87E-10,0.186653065
14.34,1.85E-10,0.185324096
14.36,1.84E-10,0.184011651
14.38,1.83E-10,0.182715418
14.4,1.81E-10,0.181435172
14.42,1.80E-10,0.180170756
14.44,1.79E-10,0.178922082
14.46,1.78E-10,0.177689117
14.48,1.76E-10,0.176471878
14.5,1.75E-10,0.175270425
14.52,1.74E-10,0.174084855
14.54,1.73E-10,0.1729153
14.56,1.72E-10,0.171761918
14.58,1.71E-10,0.170624888
14.6,1.70E-10,0.169504414
14.62,1.68E-10,0.16840071
14.64,1.67E-10,0.167314009
14.66,1.66E-10,0.16624455
14.68,1.65E-10,0.165192582
14.7,1.64E-10,0.164158359
14.72,1.63E-10,0.163142142
14.74,1.62E-10,0.16214419
14.76,1.61E-10,0.161164768
14.78,1.60E-10,0.160204137
14.8,1.59E-10,0.159262561
14.82,1.58E-10,0.158340299
14.84,1.57E-10,0.157437612
14.86,1.57E-10,0.156554756
14.88,1.56E-10,0.155691983
14.9,1.55E-10,0.154849546
14.92,1.54E-10,0.15402769
14.94,1.53E-10,0.153226663
14.96,1.52E-10,0.152446704
14.98,1.52E-10,0.151688054
15,1.51E-10,0.151314085
15,1.55E-10,0.155192643
15.02,1.55E-10,0.154614829
15.04,1.53E-10,0.153479181
15.06,1.52E-10,0.152383425
15.08,1.51E-10,0.151327404
15.1,1.50E-10,0.150310914
15.12,1.49E-10,0.149333712
15.14,1.48E-10,0.14839552
15.16,1.47E-10,0.147496035
15.18,1.47E-10,0.146634928
15.2,1.46E-10,0.145811856
15.22,1.45E-10,0.145026461
15.24,1.44E-10,0.144278375
15.26,1.44E-10,0.143567227
15.28,1.43E-10,0.142892642
15.3,1.42E-10,0.142254249
15.32,1.42E-10,0.141651678
