Frequency,ADS,,,HFSS,,,Theory,
4140000000,1.91E-10,0.19095287,,1.84E-10,0.18420056,,1.13E-08,0.113181857
4160000000,1.92E-10,0.192492272,,1.85E-10,0.18521458,,1.14E-08,0.113997155
4180000000,1.94E-10,0.194026281,,1.86E-10,0.186233232,,1.15E-08,0.11480307
4200000000,1.96E-10,0.195551959,,1.87E-10,0.187254891,,1.16E-08,0.115597847
4220000000,1.97E-10,0.197066254,,1.88E-10,0.188277895,,1.16E-08,0.116379697
4240000000,1.99E-10,0.198566009,,1.89E-10,0.189300538,,1.17E-08,0.117146798
4260000000,2.00E-10,0.20004797,,1.90E-10,0.19032108,,1.18E-08,0.117897309
4280000000,2.02E-10,0.201508796,,1.91E-10,0.19133774,,1.19E-08,0.118629373
4300000000,2.03E-10,0.202945069,,1.92E-10,0.192348707,,1.19E-08,0.119341125
4320000000,2.04E-10,0.204353306,,1.93E-10,0.193352136,,1.20E-08,0.120030707
4340000000,2.06E-10,0.205729978,,1.94E-10,0.194346154,,1.21E-08,0.12069627
4360000000,2.07E-10,0.207071519,,1.95E-10,0.195328865,,1.21E-08,0.12133599
4380000000,2.08E-10,0.208374349,,1.96E-10,0.196298353,,1.22E-08,0.121948078
4400000000,2.10E-10,0.20963489,,1.97E-10,0.197252688,,1.23E-08,0.122530789
4420000000,2.11E-10,0.210849587,,1.98E-10,0.198189932,,1.23E-08,0.123082434
4440000000,2.12E-10,0.212014929,,1.99E-10,0.199108144,,1.24E-08,0.123601395
4460000000,2.13E-10,0.213127471,,2.00E-10,0.200005386,,1.24E-08,0.124086129
4480000000,2.14E-10,0.214183855,,2.01E-10,0.200879733,,1.25E-08,0.124535187
4500000000,2.15E-10,0.215180839,,2.02E-10,0.201729277,,1.25E-08,0.124947221
4520000000,2.16E-10,0.216115311,,2.03E-10,0.202552139,,1.25E-08,0.125320994
4540000000,2.17E-10,0.216984322,,2.03E-10,0.203346473,,1.26E-08,0.125655391
4560000000,2.18E-10,0.217785101,,2.04E-10,0.204110476,,1.26E-08,0.125949428
4580000000,2.19E-10,0.218515084,,2.05E-10,0.204842396,,1.26E-08,0.12620226
4600000000,2.19E-10,0.219171929,,2.06E-10,0.205540542,,1.26E-08,0.126413187
4620000000,2.20E-10,0.21975354,,2.06E-10,0.206203293,,1.27E-08,0.126581663
4640000000,2.20E-10,0.220258084,,2.07E-10,0.206829103,,1.27E-08,0.126707297
4660000000,2.21E-10,0.220684004,,2.07E-10,0.207416514,,1.27E-08,0.126789858
4680000000,2.21E-10,0.22103004,,2.08E-10,0.20796416,,1.27E-08,0.126829279
4700000000,2.21E-10,0.221295234,,2.08E-10,0.20847078,,1.27E-08,0.126825653
4720000000,2.21E-10,0.221478942,,2.09E-10,0.208935219,,1.27E-08,0.126779237
4740000000,2.22E-10,0.221580838,,2.09E-10,0.209356441,,1.27E-08,0.126690447
4760000000,2.22E-10,0.22160092,,2.10E-10,0.209733531,,1.27E-08,0.126559856
4780000000,2.22E-10,0.221539511,,2.10E-10,0.210065706,,1.26E-08,0.126388189
